,Maximum,Mean,Median
0,2378.0,555.0,330.0
1,2398.0,555.0,330.0
2,2414.0,555.0,330.0
3,2401.0,555.0,330.0
4,2394.0,554.0,330.0
5,2408.0,555.0,336.0
6,2384.0,555.0,337.0
7,2377.0,555.0,336.0
8,2384.0,555.0,330.0
9,2393.0,555.0,336.0
