,Maximum,Mean,Median
0,2430.0,559.0,336.0
1,2645.0,584.0,346.5
2,3291.0,669.0,415.0
3,4168.0,821.0,560.0
4,5314.0,1081.0,720.0
5,6957.0,1462.0,1010.5
6,8497.0,1949.0,1460.0
7,10105.0,2479.0,1970.0
8,10952.0,2930.0,2392.0
9,12008.0,3218.0,2681.0
