,Parameter value,Start year,End year,Step length,Optimisation length,Maximum PV size,Maximum storage size,Maximum diesel capacity,LCUE ($/kWh),Emissions intensity (gCO2/kWh),Blackouts,Unmet fraction,Renewables fraction,Storage fraction,Diesel fraction,Grid fraction,Total energy (kWh),Unmet energy (kWh),Renewable energy (kWh),Storage energy (kWh),Grid energy (kWh),Diesel energy (kWh),Discounted energy (kWh),Total cost ($),Total system cost ($),New equipment cost ($),New connection cost ($),O&M cost ($),Diesel cost ($),Grid cost ($),Kerosene cost ($),Kerosene cost mitigated ($),Kerosene displacement,Diesel fuel usage (l),Total GHGs (kgCO2eq),Total system GHGs (kgCO2eq),O&M GHGs (kgCO2eq),Diesel GHGs (kgCO2eq),Grid GHGs (kgCO2eq),Kerosene GHGs (kgCO2eq),Kerosene GHGs mitigated (kgCO2eq)
0,0.1,0,10,5,10,23.0,125.0,0.0,0.321,540.823,0.0975,0.093,0.292,0.708,0.0,0.0,169829.053,15853.284,49531.456,120297.59599999999,0.0,0.0,131717.213,42297.33,42297.33,36066.67,0.0,6230.65,0.0,0.0,0.0,0.0,0.0,0.0,91847.4,91847.4,7600.0,0.0,0.0,0.0,0.0
1,0.05,0,10,5,10,28.0,140.0,0.0,0.35,619.74,0.0465,0.041,0.284,0.716,0.0,0.0,178851.527,7276.3099999999995,50707.689,128143.83799999999,0.0,0.0,138522.53100000002,48532.19,48532.19,41879.24,0.0,6652.95,0.0,0.0,0.0,0.0,0.0,0.0,110841.48999999999,110841.48999999999,8450.0,0.0,0.0,0.0,0.0
2,0.01,0,10,5,10,37.0,155.0,0.0,0.409,776.506,0.0095,0.008,0.283,0.717,0.0,0.0,184885.563,1505.987,52402.612,132482.951,0.0,0.0,143084.359,58490.1,58490.1,51136.4,0.0,7353.700000000001,0.0,0.0,0.0,0.0,0.0,0.0,143564.81,143564.81,9725.0,0.0,0.0,0.0,0.0
