,Start year,End year,Initial PV size,Initial storage size,Final PV size,Final storage size,Diesel capacity,Cumulative cost ($),Cumulative system cost ($),Cumulative GHGs (kgCO2eq),Cumulative system GHGs (kgCO2eq),Cumulative energy (kWh),Cumulative discounted energy (kWh),LCUE ($/kWh),Emissions intensity (gCO2/kWh),Blackouts,Unmet energy fraction,Renewables fraction,Total energy (kWh),Unmet energy (kWh),Renewable energy (kWh),Storage energy (kWh),Grid energy (kWh),Diesel energy (kWh),Discounted energy (kWh),Kerosene displacement,Diesel fuel usage (l),Total cost ($),Total system cost ($),New equipment cost ($),New connection cost ($),O&M cost ($),Diesel cost ($),Grid cost ($),Kerosene cost ($),Kerosene cost mitigated ($),Total GHGs (kgCO2eq),Total system GHGs (kgCO2eq),New equipment GHGs (kgCO2eq),New connection GHGs (kgCO2eq),O&M GHGs (kgCO2eq),Diesel GHGs (kgCO2eq),Grid GHGs (kgCO2eq),Kerosene GHGs (kgCO2eq),Kerosene GHGs mitigated (kgCO2eq)
0,0.0,5.0,22.0,95.0,19.8,86.756547455609,0.0,38143.1,38143.1,87230.13,87230.13,52649.786,46517.643,0.82,1656.799,0.009,0.01,1.0,52649.786,532.718,11432.523,41217.263,0.0,0.0,46517.643,0.0,0.0,38143.1,38143.1,34498.57,0.0,3644.53,0.0,0.0,0.0,0.0,87230.13,87230.13,83305.13,0.0,3925.0,0.0,0.0,0.0,0.0
0,5.0,10.0,37.0,155.0,33.300000000000004,136.74686235639643,0.0,58490.1,58490.1,143564.81,143564.81,184885.563,143084.359,0.409,776.506,0.01,0.008,1.0,132235.777,973.269,40970.089,91265.688,0.0,0.0,96566.716,0.0,0.0,20347.0,20347.0,16637.83,0.0,3709.17,0.0,0.0,0.0,0.0,56334.68,56334.68,50534.68,0.0,5800.0,0.0,0.0,0.0,0.0
