,Maximum,Mean,Median
0,4501.0,862.0,615.0
1,6675.0,1577.0,1224.5
2,8446.0,2237.0,1820.0
3,9636.0,2775.0,2308.0
4,11144.0,3145.0,2640.0
5,11494.0,3343.0,2843.5
6,12374.0,3436.0,2915.0
7,12441.0,3491.0,2968.5
8,12384.0,3528.0,3005.0
9,12858.0,3545.0,3005.0
