,Maximum,Mean,Median
0,1853.0,367.0,240.0
1,2438.0,456.0,321.0
2,3318.0,646.0,485.0
3,5047.0,981.0,762.0
4,7066.0,1458.0,1169.5
5,8726.0,2011.0,1650.0
6,10442.0,2531.0,2133.0
7,11066.0,2894.0,2462.0
8,11293.0,3117.0,2666.0
9,11500.0,3230.0,2770.0
