,0
0,100.0
1,100.0
2,100.0
3,100.0
4,100.0
5,100.0
6,100.0
7,100.0
8,101.0
9,101.0
10,101.0
11,101.0
12,101.0
13,101.0
14,101.0
15,102.0
16,102.0
17,102.0
18,102.0
19,102.0
20,102.0
21,102.0
22,103.0
23,103.0
24,103.0
25,103.0
26,103.0
27,103.0
28,103.0
29,104.0
30,104.0
31,104.0
32,104.0
33,104.0
34,104.0
35,104.0
36,105.0
37,105.0
38,105.0
39,105.0
40,105.0
41,105.0
42,105.0
43,106.0
44,106.0
45,106.0
46,106.0
47,106.0
48,106.0
49,106.0
50,107.0
51,107.0
52,107.0
53,107.0
54,107.0
55,107.0
56,107.0
57,108.0
58,108.0
59,108.0
60,108.0
61,108.0
62,108.0
63,108.0
64,109.0
65,109.0
66,109.0
67,109.0
68,109.0
69,109.0
70,109.0
71,110.0
72,110.0
73,110.0
74,110.0
75,110.0
76,110.0
77,110.0
78,111.0
79,111.0
80,111.0
81,111.0
82,111.0
83,111.0
84,111.0
85,112.0
86,112.0
87,112.0
88,112.0
89,112.0
90,112.0
91,112.0
92,113.0
93,113.0
94,113.0
95,113.0
96,113.0
97,113.0
98,114.0
99,114.0
100,114.0
101,114.0
102,114.0
103,114.0
104,114.0
105,115.0
106,115.0
107,115.0
108,115.0
109,115.0
110,115.0
111,115.0
112,116.0
113,116.0
114,116.0
115,116.0
116,116.0
117,116.0
118,116.0
119,117.0
120,117.0
121,117.0
122,117.0
123,117.0
124,117.0
125,118.0
126,118.0
127,118.0
128,118.0
129,118.0
130,118.0
131,118.0
132,119.0
133,119.0
134,119.0
135,119.0
136,119.0
137,119.0
138,119.0
139,120.0
140,120.0
141,120.0
142,120.0
143,120.0
144,120.0
145,120.0
146,121.0
147,121.0
148,121.0
149,121.0
150,121.0
151,121.0
152,122.0
153,122.0
154,122.0
155,122.0
156,122.0
157,122.0
158,122.0
159,123.0
160,123.0
161,123.0
162,123.0
163,123.0
164,123.0
165,123.0
166,124.0
167,124.0
168,124.0
169,124.0
170,124.0
171,124.0
172,125.0
173,125.0
174,125.0
175,125.0
176,125.0
177,125.0
178,125.0
179,126.0
180,126.0
181,126.0
182,126.0
183,126.0
184,126.0
185,126.0
186,127.0
187,127.0
188,127.0
189,127.0
190,127.0
191,127.0
192,127.0
193,128.0
194,128.0
195,128.0
196,128.0
197,128.0
198,128.0
199,129.0
200,129.0
201,129.0
202,129.0
203,129.0
204,129.0
205,129.0
206,130.0
207,130.0
208,130.0
209,130.0
210,130.0
211,130.0
212,130.0
213,131.0
214,131.0
215,131.0
216,131.0
217,131.0
218,131.0
219,131.0
220,132.0
221,132.0
222,132.0
223,132.0
224,132.0
225,132.0
226,133.0
227,133.0
228,133.0
229,133.0
230,133.0
231,133.0
232,133.0
233,134.0
234,134.0
235,134.0
236,134.0
237,134.0
238,134.0
239,134.0
240,135.0
241,135.0
242,135.0
243,135.0
244,135.0
245,135.0
246,135.0
247,136.0
248,136.0
249,136.0
250,136.0
251,136.0
252,136.0
253,136.0
254,137.0
255,137.0
256,137.0
257,137.0
258,137.0
259,137.0
260,137.0
261,138.0
262,138.0
263,138.0
264,138.0
265,138.0
266,138.0
267,138.0
268,139.0
269,139.0
270,139.0
271,139.0
272,139.0
273,139.0
274,139.0
275,140.0
276,140.0
277,140.0
278,140.0
279,140.0
280,140.0
281,140.0
282,141.0
283,141.0
284,141.0
285,141.0
286,141.0
287,141.0
288,141.0
289,142.0
290,142.0
291,142.0
292,142.0
293,142.0
294,142.0
295,142.0
296,142.0
297,143.0
298,143.0
299,143.0
300,143.0
301,143.0
302,143.0
303,143.0
304,144.0
305,144.0
306,144.0
307,144.0
308,144.0
309,144.0
310,144.0
311,145.0
312,145.0
313,145.0
314,145.0
315,145.0
316,145.0
317,145.0
318,146.0
319,146.0
320,146.0
321,146.0
322,146.0
323,146.0
324,146.0
325,146.0
326,147.0
327,147.0
328,147.0
329,147.0
330,147.0
331,147.0
332,147.0
333,148.0
334,148.0
335,148.0
336,148.0
337,148.0
338,148.0
339,148.0
340,148.0
341,149.0
342,149.0
343,149.0
344,149.0
345,149.0
346,149.0
347,149.0
348,149.0
349,150.0
350,150.0
351,150.0
352,150.0
353,150.0
354,150.0
355,150.0
356,151.0
357,151.0
358,151.0
359,151.0
360,151.0
361,151.0
362,151.0
363,151.0
364,152.0
365,152.0
366,152.0
367,152.0
368,152.0
369,152.0
370,152.0
371,152.0
372,153.0
373,153.0
374,153.0
375,153.0
376,153.0
377,153.0
378,153.0
379,153.0
380,154.0
381,154.0
382,154.0
383,154.0
384,154.0
385,154.0
386,154.0
387,154.0
388,155.0
389,155.0
390,155.0
391,155.0
392,155.0
393,155.0
394,155.0
395,155.0
396,156.0
397,156.0
398,156.0
399,156.0
400,156.0
401,156.0
402,156.0
403,156.0
404,156.0
405,157.0
406,157.0
407,157.0
408,157.0
409,157.0
410,157.0
411,157.0
412,157.0
413,158.0
414,158.0
415,158.0
416,158.0
417,158.0
418,158.0
419,158.0
420,158.0
421,158.0
422,159.0
423,159.0
424,159.0
425,159.0
426,159.0
427,159.0
428,159.0
429,159.0
430,160.0
431,160.0
432,160.0
433,160.0
434,160.0
435,160.0
436,160.0
437,160.0
438,160.0
439,161.0
440,161.0
441,161.0
442,161.0
443,161.0
444,161.0
445,161.0
446,161.0
447,161.0
448,162.0
449,162.0
450,162.0
451,162.0
452,162.0
453,162.0
454,162.0
455,162.0
456,162.0
457,163.0
458,163.0
459,163.0
460,163.0
461,163.0
462,163.0
463,163.0
464,163.0
465,163.0
466,163.0
467,164.0
468,164.0
469,164.0
470,164.0
471,164.0
472,164.0
473,164.0
474,164.0
475,164.0
476,165.0
477,165.0
478,165.0
479,165.0
480,165.0
481,165.0
482,165.0
483,165.0
484,165.0
485,165.0
486,166.0
487,166.0
488,166.0
489,166.0
490,166.0
491,166.0
492,166.0
493,166.0
494,166.0
495,166.0
496,167.0
497,167.0
498,167.0
499,167.0
500,167.0
501,167.0
502,167.0
503,167.0
504,167.0
505,167.0
506,168.0
507,168.0
508,168.0
509,168.0
510,168.0
511,168.0
512,168.0
513,168.0
514,168.0
515,168.0
516,169.0
517,169.0
518,169.0
519,169.0
520,169.0
521,169.0
522,169.0
523,169.0
524,169.0
525,169.0
526,169.0
527,170.0
528,170.0
529,170.0
530,170.0
531,170.0
532,170.0
533,170.0
534,170.0
535,170.0
536,170.0
537,170.0
538,171.0
539,171.0
540,171.0
541,171.0
542,171.0
543,171.0
544,171.0
545,171.0
546,171.0
547,171.0
548,171.0
549,172.0
550,172.0
551,172.0
552,172.0
553,172.0
554,172.0
555,172.0
556,172.0
557,172.0
558,172.0
559,172.0
560,172.0
561,173.0
562,173.0
563,173.0
564,173.0
565,173.0
566,173.0
567,173.0
568,173.0
569,173.0
570,173.0
571,173.0
572,174.0
573,174.0
574,174.0
575,174.0
576,174.0
577,174.0
578,174.0
579,174.0
580,174.0
581,174.0
582,174.0
583,174.0
584,174.0
585,175.0
586,175.0
587,175.0
588,175.0
589,175.0
590,175.0
591,175.0
592,175.0
593,175.0
594,175.0
595,175.0
596,175.0
597,176.0
598,176.0
599,176.0
600,176.0
601,176.0
602,176.0
603,176.0
604,176.0
605,176.0
606,176.0
607,176.0
608,176.0
609,176.0
610,177.0
611,177.0
612,177.0
613,177.0
614,177.0
615,177.0
616,177.0
617,177.0
618,177.0
619,177.0
620,177.0
621,177.0
622,177.0
623,177.0
624,178.0
625,178.0
626,178.0
627,178.0
628,178.0
629,178.0
630,178.0
631,178.0
632,178.0
633,178.0
634,178.0
635,178.0
636,178.0
637,178.0
638,179.0
639,179.0
640,179.0
641,179.0
642,179.0
643,179.0
644,179.0
645,179.0
646,179.0
647,179.0
648,179.0
649,179.0
650,179.0
651,179.0
652,179.0
653,180.0
654,180.0
655,180.0
656,180.0
657,180.0
658,180.0
659,180.0
660,180.0
661,180.0
662,180.0
663,180.0
664,180.0
665,180.0
666,180.0
667,180.0
668,181.0
669,181.0
670,181.0
671,181.0
672,181.0
673,181.0
674,181.0
675,181.0
676,181.0
677,181.0
678,181.0
679,181.0
680,181.0
681,181.0
682,181.0
683,181.0
684,182.0
685,182.0
686,182.0
687,182.0
688,182.0
689,182.0
690,182.0
691,182.0
692,182.0
693,182.0
694,182.0
695,182.0
696,182.0
697,182.0
698,182.0
699,182.0
700,182.0
701,183.0
702,183.0
703,183.0
704,183.0
705,183.0
706,183.0
707,183.0
708,183.0
709,183.0
710,183.0
711,183.0
712,183.0
713,183.0
714,183.0
715,183.0
716,183.0
717,183.0
718,184.0
719,184.0
720,184.0
721,184.0
722,184.0
723,184.0
724,184.0
725,184.0
726,184.0
727,184.0
728,184.0
729,184.0
730,184.0
731,184.0
732,184.0
733,184.0
734,184.0
735,184.0
736,184.0
737,185.0
738,185.0
739,185.0
740,185.0
741,185.0
742,185.0
743,185.0
744,185.0
745,185.0
746,185.0
747,185.0
748,185.0
749,185.0
750,185.0
751,185.0
752,185.0
753,185.0
754,185.0
755,185.0
756,185.0
757,186.0
758,186.0
759,186.0
760,186.0
761,186.0
762,186.0
763,186.0
764,186.0
765,186.0
766,186.0
767,186.0
768,186.0
769,186.0
770,186.0
771,186.0
772,186.0
773,186.0
774,186.0
775,186.0
776,186.0
777,186.0
778,187.0
779,187.0
780,187.0
781,187.0
782,187.0
783,187.0
784,187.0
785,187.0
786,187.0
787,187.0
788,187.0
789,187.0
790,187.0
791,187.0
792,187.0
793,187.0
794,187.0
795,187.0
796,187.0
797,187.0
798,187.0
799,187.0
800,187.0
801,188.0
802,188.0
803,188.0
804,188.0
805,188.0
806,188.0
807,188.0
808,188.0
809,188.0
810,188.0
811,188.0
812,188.0
813,188.0
814,188.0
815,188.0
816,188.0
817,188.0
818,188.0
819,188.0
820,188.0
821,188.0
822,188.0
823,188.0
824,188.0
825,189.0
826,189.0
827,189.0
828,189.0
829,189.0
830,189.0
831,189.0
832,189.0
833,189.0
834,189.0
835,189.0
836,189.0
837,189.0
838,189.0
839,189.0
840,189.0
841,189.0
842,189.0
843,189.0
844,189.0
845,189.0
846,189.0
847,189.0
848,189.0
849,189.0
850,189.0
851,189.0
852,190.0
853,190.0
854,190.0
855,190.0
856,190.0
857,190.0
858,190.0
859,190.0
860,190.0
861,190.0
862,190.0
863,190.0
864,190.0
865,190.0
866,190.0
867,190.0
868,190.0
869,190.0
870,190.0
871,190.0
872,190.0
873,190.0
874,190.0
875,190.0
876,190.0
877,190.0
878,190.0
879,190.0
880,190.0
881,191.0
882,191.0
883,191.0
884,191.0
885,191.0
886,191.0
887,191.0
888,191.0
889,191.0
890,191.0
891,191.0
892,191.0
893,191.0
894,191.0
895,191.0
896,191.0
897,191.0
898,191.0
899,191.0
900,191.0
901,191.0
902,191.0
903,191.0
904,191.0
905,191.0
906,191.0
907,191.0
908,191.0
909,191.0
910,191.0
911,191.0
912,191.0
913,191.0
914,192.0
915,192.0
916,192.0
917,192.0
918,192.0
919,192.0
920,192.0
921,192.0
922,192.0
923,192.0
924,192.0
925,192.0
926,192.0
927,192.0
928,192.0
929,192.0
930,192.0
931,192.0
932,192.0
933,192.0
934,192.0
935,192.0
936,192.0
937,192.0
938,192.0
939,192.0
940,192.0
941,192.0
942,192.0
943,192.0
944,192.0
945,192.0
946,192.0
947,192.0
948,192.0
949,192.0
950,193.0
951,193.0
952,193.0
953,193.0
954,193.0
955,193.0
956,193.0
957,193.0
958,193.0
959,193.0
960,193.0
961,193.0
962,193.0
963,193.0
964,193.0
965,193.0
966,193.0
967,193.0
968,193.0
969,193.0
970,193.0
971,193.0
972,193.0
973,193.0
974,193.0
975,193.0
976,193.0
977,193.0
978,193.0
979,193.0
980,193.0
981,193.0
982,193.0
983,193.0
984,193.0
985,193.0
986,193.0
987,193.0
988,193.0
989,193.0
990,193.0
991,193.0
992,194.0
993,194.0
994,194.0
995,194.0
996,194.0
997,194.0
998,194.0
999,194.0
1000,194.0
1001,194.0
1002,194.0
1003,194.0
1004,194.0
1005,194.0
1006,194.0
1007,194.0
1008,194.0
1009,194.0
1010,194.0
1011,194.0
1012,194.0
1013,194.0
1014,194.0
1015,194.0
1016,194.0
1017,194.0
1018,194.0
1019,194.0
1020,194.0
