,Start year,End year,Initial PV size,Initial storage size,Final PV size,Final storage size,Diesel capacity,Cumulative cost ($),Cumulative system cost ($),Cumulative GHGs (kgCO2eq),Cumulative system GHGs (kgCO2eq),Cumulative energy (kWh),Cumulative discounted energy (kWh),LCUE ($/kWh),Emissions intensity (gCO2/kWh),Blackouts,Unmet energy fraction,Renewables fraction,Total energy (kWh),Unmet energy (kWh),Renewable energy (kWh),Storage energy (kWh),Grid energy (kWh),Diesel energy (kWh),Discounted energy (kWh),Kerosene displacement,Diesel fuel usage (l),Total cost ($),Total system cost ($),New equipment cost ($),New connection cost ($),O&M cost ($),Diesel cost ($),Grid cost ($),Kerosene cost ($),Kerosene cost mitigated ($),Total GHGs (kgCO2eq),Total system GHGs (kgCO2eq),New equipment GHGs (kgCO2eq),New connection GHGs (kgCO2eq),O&M GHGs (kgCO2eq),Diesel GHGs (kgCO2eq),Grid GHGs (kgCO2eq),Kerosene GHGs (kgCO2eq),Kerosene GHGs mitigated (kgCO2eq)
0,0.0,2.0,8.0,40.0,7.84,37.773278160177384,0.0,14765.65,14765.65,31805.0,31805.0,12592.916,12059.822,1.224,2525.626,0.038,0.029,1.0,12592.916,354.546,1459.307,11133.609,0.0,0.0,12059.822,0.0,0.0,14765.65,14765.65,13576.0,0.0,1189.65,0.0,0.0,0.0,0.0,31805.0,31805.0,30925.0,0.0,880.0,0.0,0.0,0.0,0.0
0,2.0,4.0,12.0,70.0,11.76,66.57075759751444,0.0,22729.6,22729.6,48494.56,48494.56,34645.104,31492.291,0.722,1399.752,0.048,0.042,1.0,22052.188,939.842,4905.976,17146.212,0.0,0.0,19432.469,0.0,0.0,7963.95,7963.95,6735.99,0.0,1227.96,0.0,0.0,0.0,0.0,16689.56,16689.56,15469.56,0.0,1220.0,0.0,0.0,0.0,0.0
0,4.0,6.0,19.0,105.0,18.62,99.66843201532193,0.0,33852.369999999995,33852.369999999995,73796.45,73796.45,71494.231,61424.022,0.551,1032.201,0.05,0.039,1.0,36849.127,1445.154,10191.287,26657.84,0.0,0.0,29931.731,0.0,0.0,11122.77,11122.77,9821.36,0.0,1301.4,0.0,0.0,0.0,0.0,25301.89,25301.89,23661.89,0.0,1640.0,0.0,0.0,0.0,0.0
0,6.0,8.0,25.0,125.0,24.5,118.01708693571351,0.0,40297.39,40297.39,93263.76,93263.76,121670.682,99018.831,0.407,766.526,0.049,0.033,1.0,50176.451,1640.778,15261.885,34914.565,0.0,0.0,37594.809,0.0,0.0,6445.02,6445.02,5134.36,0.0,1310.66,0.0,0.0,0.0,0.0,19467.31,19467.31,17567.31,0.0,1900.0,0.0,0.0,0.0,0.0
0,8.0,10.0,27.0,145.0,26.46,137.08630758076433,0.0,46027.119999999995,46027.119999999995,103644.59999999999,103644.59999999999,179919.435,139237.083,0.331,576.061,0.05,0.037,1.0,58248.753,2143.604,18680.291,39568.462,0.0,0.0,40218.252,0.0,0.0,5729.73,5729.73,4460.56,0.0,1269.16,0.0,0.0,0.0,0.0,10380.84,10380.84,8260.84,0.0,2120.0,0.0,0.0,0.0,0.0
