,Maximum,Mean,Median
0,4562.0,864.0,620.0
1,6233.0,1570.0,1222.0
2,8570.0,2243.0,1820.0
3,10323.0,2787.0,2324.5
4,11372.0,3139.0,2641.5
5,11426.0,3347.0,2840.0
6,12616.0,3448.0,2920.0
7,13304.0,3492.0,2960.0
8,12698.0,3531.0,2999.0
9,12607.0,3536.0,2990.0
