Device,Available,Power,Initial,Final,Innovation,Imitation,Type
light,Y,6,3,5,0.5,0.9,Domestic
phone,Y,5,1,2,0.5,0.9,Domestic
refrigerator,Y,220,0,1,0.2,0.5,Domestic
tv,Y,20,0,1,0.08,0.8,Domestic
securitylight,Y,6,1,1,0,0,Domestic
fan,Y,40,0,1,0.08,0.8,Domestic
kerosene,N,1,1,1,0,0,Domestic
