,Maximum,Mean,Median
0,1395.0,318.0,210.0
1,1405.0,318.0,210.0
2,1430.0,317.0,209.0
3,1400.0,318.0,212.0
4,1430.0,318.0,211.0
5,1410.0,318.0,210.0
6,1410.0,317.0,207.0
7,1445.0,318.0,210.0
8,1420.0,318.0,210.0
9,1425.0,318.0,210.0
