Device,Available,Power,Initial,Final,Innovation,Imitation,Type
light,Y,6,3,5,0.01,0.9,Domestic
phone,Y,5,1,2,0.01,0.9,Domestic
refrigerator,Y,220,0,1,0.002,0.82,Domestic
tv,Y,20,0,1,0.02,0.9,Domestic
securitylight,Y,6,1,1,0,0,Domestic
fan,Y,40,0,1,0.002,0.9,Domestic
kerosene,N,1,1,1,0,0,Domestic
