,Maximum,Mean,Median
0,2864.0,593.0,372.0
1,4218.0,751.0,518.0
2,5093.0,1018.0,725.0
3,6690.0,1389.0,1042.0
4,8346.0,1806.0,1400.0
5,10032.0,2206.0,1746.0
6,10604.0,2567.0,2071.5
7,11268.0,2864.0,2346.0
8,11452.0,3081.0,2551.0
9,12054.0,3246.0,2708.0
