,Maximum,Mean,Median
0,11630.0,3251.0,2810.0
1,11650.0,3235.0,2792.0
2,11620.0,3237.0,2800.0
3,11740.0,3252.0,2835.0
4,11400.0,3259.0,2803.0
5,11230.0,3253.0,2800.0
6,11930.0,3248.0,2795.0
7,11820.0,3253.0,2816.5
8,11385.0,3241.0,2804.5
9,11195.0,3249.0,2802.0
