,Maximum,Mean,Median
0,2753.0,593.0,366.0
1,3636.0,748.0,523.0
2,5043.0,1015.0,711.0
3,6533.0,1382.0,1040.0
4,8908.0,1799.0,1386.0
5,9523.0,2208.0,1731.0
6,10554.0,2573.0,2073.5
7,11454.0,2862.0,2346.0
8,11876.0,3083.0,2556.5
9,11882.0,3257.0,2739.0
