Device,Available,Power,Initial,Final,Innovation,Imitation,Type
light,Y,6,0.8,0.8,0,0,Domestic
phone,Y,5,1.8,1.8,0,0,Domestic
radio,Y,5,0.1,0.1,0,0,Domestic
tv,Y,20,0.05,0.05,0,0,Domestic
fan,Y,40,0.15,0.15,0,0,Domestic
kerosene,N,1,1,1,0,0,Domestic
