,Maximum,Mean,Median
0,2804.0,593.0,372.0
1,3764.0,751.0,522.0
2,4864.0,1017.0,720.0
3,6723.0,1384.0,1040.0
4,8618.0,1797.0,1380.0
5,10003.0,2213.0,1750.0
6,10695.0,2564.0,2062.5
7,11291.0,2868.0,2357.0
8,11504.0,3088.0,2560.0
9,11908.0,3249.0,2700.0
